Andaman & Nicobar Islands,77943,1005,334,0
Andhra Pradesh,9033712,19787,13385,0
Arunachal Pradesh,112455,6398,2181,21
Assam,3895330,19542,14969,7
Bihar,196872,2693,715,1
Chandigarh,43901,150,2,0
Chhatisgarh,3776658,110145,89418,43
Dadar & Nagar Haveli,63540,1778,513,0
Daman & Diu,35423,91,5,0
Delhi,324760,353,8,0
Goa,3895330,19542,14969,7
Gujrat,12687686,58513,9122,38
Haryana,2640224,14471,247,3
Himachal Pradesh,14471,141,0,0
Jammu & Kashmir,483091,698,24,0
Jharkhand,3562174,97786,38263,8
Karnataka,8907752,13302,967,0
Kerala,2607143,1634,243,0
Lakshwadeep,178,8,0,0
Madhya Pradesh,9757285,78260,28775,49
Maharashtra,16739447,43677,9198,80
Manipur,92762,120,42,0
Meghalaya,360044,24727,22885,62
Mizoram,229818,11747,10340,21
Nagaland,224571,2285,519,1
Orisha,5078132,228858,208488,67
Puducherry,230814,127,2,0
Punjab,2971013,1760,31,0
Rajasthan,8909848,33139,1086,15
Sikkim,11136,39,13,0
Tamil Nadu,8618514,1508,539,0
Telangana,0,0,0,0
Tripura,257760,7396,6998,7
Uttar Pradesh,4278776,48346,590,0
Uttarakhand,322057,1426,108,0
West Bengal,5679133,34717,3705,17
